epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,1778.9,0.84711,0.43922,0.90382,0.90733,0.89915,0.92225,0.70238,0.90851,0.45571,0.94288,0.000726361,0.000726361,0.000726361
151,1790.98,0.82378,0.43062,0.90891,0.91037,0.90421,0.92747,0.7007,0.90558,0.45328,0.94534,0.000721645,0.000721645,0.000721645
152,1802.87,0.86128,0.43284,0.91128,0.90792,0.90925,0.93339,0.70337,0.90665,0.45078,0.94505,0.000716929,0.000716929,0.000716929
153,1814.56,0.83987,0.43774,0.90729,0.90085,0.90736,0.93369,0.7,0.92276,0.45824,0.94797,0.000712214,0.000712214,0.000712214
154,1826.28,0.83787,0.43221,0.91171,0.9177,0.89753,0.9299,0.69792,0.9181,0.45966,0.94672,0.000707498,0.000707498,0.000707498
155,1837.83,0.83861,0.43195,0.91209,0.90746,0.90359,0.92873,0.70309,0.90872,0.45521,0.94238,0.000702782,0.000702782,0.000702782
156,1849.53,0.82951,0.42534,0.89865,0.90523,0.9024,0.92274,0.69901,0.91733,0.45941,0.94439,0.000698066,0.000698066,0.000698066
157,1861.01,0.84106,0.42099,0.91563,0.90658,0.90408,0.92655,0.69911,0.91354,0.45776,0.94689,0.000693351,0.000693351,0.000693351
158,1873.05,0.83089,0.43798,0.90222,0.90182,0.90207,0.92836,0.70287,0.91204,0.45906,0.94836,0.000688635,0.000688635,0.000688635
159,1884.78,0.84517,0.43278,0.90788,0.90767,0.90623,0.92889,0.70147,0.90812,0.44979,0.94553,0.000683919,0.000683919,0.000683919
160,1896.48,0.82127,0.42013,0.90163,0.91253,0.89843,0.92268,0.69957,0.90252,0.45553,0.94262,0.000679204,0.000679204,0.000679204
161,1908.43,0.82408,0.42229,0.89514,0.91281,0.90481,0.93128,0.7059,0.9017,0.44992,0.94391,0.000674488,0.000674488,0.000674488
162,1920.39,0.85435,0.43361,0.90443,0.91377,0.90848,0.93095,0.70557,0.91272,0.44675,0.94698,0.000669772,0.000669772,0.000669772
163,1931.99,0.82086,0.42416,0.89932,0.90412,0.90326,0.92725,0.69783,0.93343,0.45771,0.94928,0.000665057,0.000665057,0.000665057
164,1943.84,0.80009,0.41317,0.89757,0.90556,0.91073,0.92988,0.69934,0.91947,0.45338,0.94617,0.000660341,0.000660341,0.000660341
165,1955.83,0.81203,0.42012,0.89722,0.90386,0.91297,0.92818,0.70047,0.9086,0.44908,0.94521,0.000655625,0.000655625,0.000655625
166,1967.5,0.82022,0.4201,0.8973,0.9076,0.90537,0.93124,0.7044,0.90841,0.44909,0.94337,0.000650909,0.000650909,0.000650909
167,1979.14,0.83211,0.42065,0.90528,0.91428,0.90824,0.93026,0.69954,0.92243,0.45515,0.95293,0.000646194,0.000646194,0.000646194
168,1991.46,0.81712,0.42989,0.89754,0.90503,0.91175,0.93042,0.70248,0.90718,0.44758,0.94731,0.000641478,0.000641478,0.000641478
169,2003.08,0.81686,0.41958,0.90684,0.91154,0.90631,0.92964,0.69827,0.91785,0.45523,0.94891,0.000636762,0.000636762,0.000636762
170,2014.81,0.83075,0.42987,0.90317,0.91329,0.90322,0.92966,0.70259,0.915,0.45337,0.94821,0.000632047,0.000632047,0.000632047
171,2026.42,0.82889,0.414,0.90332,0.90659,0.90385,0.9293,0.69906,0.90846,0.45464,0.94639,0.000627331,0.000627331,0.000627331
172,2038.2,0.81572,0.42001,0.89665,0.90762,0.90134,0.92408,0.6988,0.90758,0.44929,0.94544,0.000622615,0.000622615,0.000622615
